 ,0.1,0.5,0.8,1
50,,,,0.4110156912130963
100,0.4249282066663661,0.4217043420559559,,0.42236156267355857
200,0.44008157284989136,0.43203378309158663,0.4304342550540576,0.43922985120517244
500,0.5021673196288677,0.4980354631414833,0.47390692344892743,0.48670810806895387
1000,0.5407724979769827,0.586613599570962,0.6288089131899856,
2000,,,,
